iter	Logloss
0	0.6881341781
1	0.6840557435
2	0.6794094232
3	0.6757353884
4	0.6729832038
5	0.6701544482
6	0.6679042869
7	0.6655977431
8	0.6636538851
9	0.6621202864
10	0.6605133726
11	0.658881003
12	0.6573866722
13	0.6559766795
14	0.6546393605
15	0.653499041
16	0.652254005
17	0.6512251851
18	0.6502756795
19	0.6494302378
20	0.6485516445
21	0.64789339
22	0.6470138888
23	0.6461232607
24	0.6453300021
25	0.6446840191
26	0.6439919212
27	0.6433148157
28	0.6427769001
29	0.6421820531
30	0.6414593752
31	0.6409881888
32	0.6405768981
33	0.640099058
34	0.6395971477
35	0.6391425677
36	0.6385801637
37	0.6381634891
38	0.6378172417
39	0.6373126337
40	0.6367215822
41	0.6364668367
42	0.6360923295
43	0.6357770868
44	0.6353314819
45	0.6348458954
46	0.6344697113
47	0.6341620448
48	0.6338698366
49	0.6334236268
50	0.6330704025
51	0.6328107649
52	0.6325198816
53	0.6321103934
54	0.6317075692
55	0.6314497886
56	0.6310008205
57	0.6306401552
58	0.630156967
59	0.6298958069
60	0.6295229619
61	0.6292086823
62	0.6288030522
63	0.6284356137
64	0.6281501943
65	0.627752402
66	0.6274998157
67	0.6273082213
68	0.6271029555
69	0.6268460856
70	0.626516271
71	0.6262270071
72	0.6259894961
73	0.6256535391
74	0.6252572131
75	0.6248854568
76	0.6246074044
77	0.6244228009
78	0.6242349425
79	0.6239548428
80	0.623709277
81	0.6233281997
82	0.6229979356
83	0.6227778849
84	0.6224408837
85	0.6221304667
86	0.6217397046
87	0.621451585
88	0.6211913321
89	0.6209575458
90	0.620791985
91	0.6205244704
92	0.6202351793
93	0.6198759792
94	0.6195936714
95	0.6193532685
96	0.6189880509
97	0.6186592181
98	0.6182684128
99	0.6179176794
100	0.617707961
101	0.6175430752
102	0.6172678672
103	0.6168357237
104	0.6165834269
105	0.6162404866
106	0.6159617881
107	0.6156652775
108	0.6152793608
109	0.6149125511
110	0.6145712272
111	0.6142863157
112	0.6139062578
113	0.6135505819
114	0.613139803
115	0.6128404897
116	0.6122511332
117	0.6119750803
118	0.6115317703
119	0.6111107974
120	0.6107790913
121	0.6104195464
122	0.6100575931
123	0.6096483176
124	0.6093984277
125	0.6089567772
126	0.6086247031
127	0.6081870746
128	0.6077554267
129	0.6073948025
130	0.6070619191
131	0.6067697445
132	0.6063614976
133	0.6060679712
134	0.6058630109
135	0.6053779144
136	0.6050017094
137	0.6047329998
138	0.6042999004
139	0.6040900461
140	0.6037351579
141	0.6034146539
