state_name,previous_classification_NOT INTERESTED,previous_classification_NEW CLIENT,previous_classification_NOT EFFECTIVE,previous_calls,client_age,network_age_years,banking,arpu_90_days,minutes_in,validity_average,average_performance,start_using_months,contacts,high_frequency_contacts,plan_postpaid,sn_banking,digital_index_mean,connected_days,charged_days,apps_days,music_gb
0.04484858347912175,1,0,0,0.7564830410010519,0.11315217624074865,-0.6379234322697154,1,1.83135687513307,-0.020414927014826632,-0.16255239595262475,0.26918439554518003,0.027310586150923726,-0.15365993357383984,1.2847580159591114,-1.4140351181254627,-0.8117713858288501,0.0,-0.7371486430660292,-0.016292646471738045,-0.015106337062314273,0.0
0.032018961430726134,0,1,0,-1.1469215649617823,0.03136936165920781,-1.6395387799723165,0,1.9850052129036775,0.2794091182620015,1.7289225734368932,-1.5417962109786076,-0.5718190794140261,-0.7413876038411351,-0.7083613323225593,-1.4140351181254627,-1.1893480584514249,0.0,0.7449665665846549,0.27655351449751137,-1.0270770945510244,0.0
0.04255068363979255,0,1,0,-1.1469215649617823,0.03136936165920781,-0.33087257172641926,1,3.1230500356204858,0.28907626713340445,1.611333251169239,1.0841951575592066,0.49383720568818357,0.648724421102073,1.1225513589775877,-0.7058360212650291,-0.35523739938070614,0.0,-0.7371486430660292,0.07828372158107197,-1.0270770945510244,0.0
0.032018961430726134,0,0,1,0.14189071400592246,-0.05146002009662893,-1.0909945623603086,0,-0.6502735865864832,-0.8927251897225148,0.050203829430400866,1.2232872497167733,-0.09400269876601307,-1.2585076890467706,1.1225513589775877,0.22036407327834215,-0.9340253868643836,0.0,0.7449665665846549,0.8281811982251208,-1.0270770945510244,0.0
0.04071831280016705,0,0,1,0.14189071400592246,1.4715547920810808,0.704063614942607,1,-0.802225683044881,-0.36626260458737353,0.3816746537655627,1.1521748037349773,-1.5672589299703326,-1.0552931099825855,-0.19660049958342185,-0.41241622993968197,-0.8724648136863046,0.0,-0.11256431870934817,0.48737302927384896,-1.0270770945510244,0.062
0.03482404692082111,0,0,1,0.14189071400592246,0.03136936165920781,-0.7697613987560091,0,1.1228721730248603,-0.8172149745631131,0.03136936165920781,-1.5887709585727845,-1.1005878954674624,-1.2585076890467706,0.028377599070440313,-0.23544183516329645,0.4715695386929206,0.0,-1.1870708317406944,-1.1651041329279532,1.4798902448979734,0.0
0.032018961430726134,0,0,1,0.14189071400592246,-0.4878930103874749,0.6250104153654795,1,-0.20337896614335013,-1.6580999336683138,-0.5969353414048746,0.8126540791496972,-0.5718190794140261,-0.45424895715848407,0.7234547760506026,-1.0375911061779042,-0.6929091590027329,0.0,0.7449665665846549,1.0724823893495994,-1.0270770945510244,0.0
0.041140301844605924,0,0,1,1.1400604866362363,0.8056920745819013,0.2939857808389507,1,-0.9507958379306638,-0.674358702136153,1.1091198341558424,1.4827601839584168,0.41408627483143157,-0.043924024540264145,0.7234547760506026,-1.0375911061779042,-0.8117713858288501,0.0,0.7449665665846549,1.0724823893495994,-1.0270770945510244,0.0
0.04646869983948636,0,0,1,1.1400604866362363,-0.3857258721466419,-0.0755050127125815,0,0.6642872083307605,0.737984046640177,0.7119811052447251,0.7513327030392748,-0.23046572180821054,1.611333251169239,0.6447403655629116,0.22036407327834215,0.3829439668570801,0.9,0.7449665665846549,0.3803648203143016,1.1283289012079945,0.0
0.04071831280016705,0,0,1,0.14189071400592246,0.9436562349515136,-0.6879385303621102,0,-0.6059551370107433,0.7530956186021386,-1.1257762007300154,-0.2008180598924123,-0.09400269876601307,-1.1210601441231978,0.028377599070440313,0.0054567446008498685,0.104049203876162,0.0,0.1440771281212131,-0.016292646471738045,0.4346975373082489,0.0
0.04484858347912175,0,0,1,0.14189071400592246,0.03136936165920781,0.8976552584244694,1,0.9856104168672697,-0.6650455183369637,-1.059682011223806,-0.6815943390528618,0.49383720568818357,0.761352674464305,-0.1219829720175108,0.22036407327834215,-0.8724648136863046,0.0,-0.34345797118210725,-0.6711083601222465,0.8870249608986064,0.0
0.04484858347912175,0,0,1,0.14189071400592246,0.5790394381393529,0.9146786412719052,1,-0.4443636896617447,-1.250178700248664,0.5177902745223673,1.4827601839584168,0.41408627483143157,-1.3310177115031385,0.33358417900362336,1.1573398099046526,1.2568721558986768,0.05,-0.11256431870934817,0.7112205855408937,-1.0270770945510244,0.0
0.032912969017593025,0,1,0,-1.1469215649617823,0.03136936165920781,-1.4319708910352655,0,0.385611671795162,-1.412224700579093,0.3508168892660524,-0.6815943390528618,-1.5672589299703326,0.9416998217386928,0.028377599070440313,-0.9223783379664068,-0.5206543403433661,0.0,-0.7371486430660292,-0.6711083601222465,1.2135107529970304,0.0
0.03449908278596367,1,0,0,0.14189071400592246,0.2756944187159562,3.0466879673701364,0,-0.6059551370107433,0.11652605479936104,-1.4605311820132314,-1.4941549086209047,0.568707808619065,1.5500849779020571,0.4884208579781882,-0.32218484250318075,-0.5206543403433661,0.0,-2.1927837963635852,-2.1100815543422073,-0.015106337062314273,0.0
0.032018961430726134,0,1,0,-1.1469215649617823,0.5790394381393529,-0.12705243342112585,0,2.8901560387194527,-1.1997660052684798,0.7282403553007382,-0.7782249060548562,0.830184920448686,-0.1931431668132398,0.33358417900362336,-1.4140351181254627,-1.4602630810239634,0.0,0.7449665665846549,1.0724823893495994,-1.0270770945510244,0.0
0.030341212640491912,0,0,1,0.14189071400592246,1.2502418557878947,1.2162543224531646,1,0.7907262909929602,0.7236677824630185,0.9833472803810532,1.9427030124793632,1.234768882322364,1.2895780606891756,0.10411944779852111,0.07980270968423989,-0.6347034046506604,0.0,0.7449665665846549,1.0724823893495994,-1.0270770945510244,0.0
0.028740946216674373,1,0,0,0.7564830410010519,0.9436562349515136,0.785036049876892,1,1.6714540213321984,-0.5727294049166954,-0.4431494248121575,-0.5849838760189251,1.190328351150219,0.761352674464305,0.4884208579781882,-0.15202271779523074,-0.7519257544516075,0.0,0.7449665665846549,0.9485812410743795,-1.0270770945510244,0.027
0.028740946216674373,0,1,0,-1.1469215649617823,0.1969791629904471,1.21275640992573,1,-0.6342177171786725,0.7621022775302105,-1.7560546411295914,0.3295477057744347,-0.3870487623529995,0.5672113899131166,-0.4181947775306836,-0.41241622993968197,-0.35523739938070614,0.0,0.1440771281212131,-0.2824859144933245,-0.015106337062314273,0.0
0.04162311482753472,1,0,0,0.14189071400592246,-1.2724783736910668,1.4892000784042942,1,0.24392099549734855,-0.2341547215533733,0.5177902745223673,-0.7782249060548562,0.830184920448686,-1.1210601441231978,-0.4181947775306836,1.2897843833822196,-0.1962347798725166,0.63,0.7449665665846549,0.3803648203143016,1.1283289012079945,4.944
0.043204419889502764,0,0,1,0.14189071400592246,-1.4215561053091323,-1.6067550689692431,1,0.2488622650009022,-0.1577013503871694,-0.02509400752630838,-0.10053459398770496,-0.5718190794140261,-0.11946760342846592,-1.0625064826386545,0.4722208412901936,0.5151138209130975,0.0,0.7449665665846549,1.0724823893495994,-1.0270770945510244,0.0
0.047445877606682195,0,1,0,-1.1469215649617823,-1.1400769252954,-1.349497642122869,0,-0.7364424784433312,-0.8801486651071632,0.9614293430232357,0.6879385303621104,-1.1005878954674624,0.9999859292761342,-0.1219829720175108,0.07980270968423989,-1.2555569051389528,0.0,-0.7371486430660292,-0.4459081409150264,-1.0270770945510244,0.0
0.032912969017593025,1,0,0,1.1400604866362363,-0.13337869485727427,1.035789621854487,1,-1.014571123022885,-1.2798423090561468,1.634746967913315,1.7330708141786697,0.830184920448686,0.761352674464305,1.0419972503437025,0.6387137740349292,0.7661943270487105,0.0,0.7449665665846549,1.0724823893495994,-1.0270770945510244,0.0
0.029994643813604713,1,0,0,1.616054929976294,0.49780907548583325,1.0643774477417567,1,0.990038116380109,0.2246341255133993,-1.5799683530411253,-0.10053459398770496,1.4753486903437436,1.962691469177241,-0.3447070147163643,1.645053365798677,0.19926775138028066,0.0,-0.5509376257690065,-0.4459081409150264,-0.015106337062314273,0.0
0.027705495178325424,0,1,0,-1.1469215649617823,-0.8039576712814882,-1.47526936144686,0,0.3682152867198259,-0.6272929376670776,-1.3589129518125596,-2.5992534670127876,-1.5672589299703326,-1.4079051458418632,2.6346680196259817,-0.23544183516329645,-2.1353815938745595,0.0,-0.9040612557934677,-1.055173389749887,1.2135107529970304,0.0
0.04484858347912175,0,0,1,0.7564830410010519,-0.2966067370967752,0.8444850779006297,1,0.19852368899491563,1.5368065156087372,0.03513515136381242,0.5077743334745831,-0.7993225415195937,1.064091420055003,-0.3447070147163643,0.5851664227967095,1.1856869764813422,0.1799999999999999,0.7449665665846549,1.0724823893495994,-1.0270770945510244,0.0
0.04484858347912175,0,1,0,-1.1469215649617823,-1.6541447865382133,-0.583495835720468,0,-0.3912285313794431,0.16557605311451967,0.4554315540770565,-0.49497095846643646,0.027310586150923726,-0.6379234322697155,0.56639554009208,-1.4140351181254627,0.2922039540112029,0.0,0.7449665665846549,-0.19661981398452186,1.4798902448979734,0.0
