iter	Logloss
0	0.688432341
1	0.6843345607
2	0.680530783
3	0.6769830493
4	0.6742330424
5	0.6708901371
6	0.6671311619
7	0.6643252595
8	0.6618518916
9	0.6592608408
10	0.6562344447
11	0.6539675975
12	0.6514068147
13	0.6489297209
14	0.6467617413
15	0.644913458
16	0.6434904774
17	0.6412751143
18	0.639612652
19	0.6378428876
20	0.6360934791
21	0.6343172371
22	0.6330601473
23	0.6318117389
24	0.6300477175
25	0.6287369601
26	0.6274599005
27	0.625610016
28	0.6242886144
29	0.6225614589
30	0.6215429197
31	0.6205529887
32	0.6195050336
33	0.6185327819
34	0.6178898711
35	0.6163003378
36	0.6146995388
37	0.6131854094
38	0.6125672622
39	0.6115708991
40	0.6105583011
41	0.6098217488
42	0.6088879856
43	0.6078371745
44	0.6068399412
45	0.6061978926
46	0.6052502824
47	0.6046778432
48	0.6037987382
49	0.6028173307
50	0.6016741683
51	0.6007491834
52	0.6002220929
53	0.599580046
54	0.5986283947
55	0.5978042839
56	0.5971415836
57	0.5966958275
58	0.5961232847
59	0.5955251493
60	0.5949528643
61	0.5938398655
62	0.5929970002
63	0.5922788632
64	0.5913849182
65	0.5909300445
66	0.5902400678
67	0.5895490137
68	0.5889019545
69	0.5883519815
70	0.5877127868
71	0.5868108692
72	0.586156688
73	0.5854530711
74	0.5849899049
75	0.5840936842
76	0.5834495222
77	0.5824159339
78	0.5816585278
79	0.5810244034
80	0.5804902616
81	0.5795575927
82	0.5788360367
83	0.5779805477
84	0.5775341166
85	0.577264637
86	0.5763919555
87	0.5759964274
88	0.5756828342
89	0.5748150736
90	0.5742667831
91	0.5734206199
92	0.5730220083
93	0.5720031572
94	0.5714583414
95	0.5706807068
96	0.5698363234
97	0.5685947249
98	0.5682378213
99	0.5674002967
100	0.5670946708
101	0.5664478937
102	0.5656915627
103	0.5652547574
104	0.5647059396
105	0.5644681588
106	0.5638530554
107	0.5636132803
108	0.5633423924
109	0.5629115714
110	0.5624765832
111	0.5622421845
112	0.5612689345
113	0.5609974355
114	0.560608442
115	0.5599684581
116	0.5594176226
117	0.5589392105
118	0.5584189593
119	0.5579091827
120	0.5571530452
121	0.5566788571
122	0.5562888429
123	0.5556822982
124	0.5553822941
125	0.5546339259
126	0.5537890133
127	0.553313198
128	0.5529760084
129	0.552498442
130	0.5521185374
131	0.551125803
132	0.5505906025
133	0.5497817671
134	0.5493420245
135	0.5489751099
136	0.5486444625
137	0.5477447515
138	0.5473388285
139	0.547042278
140	0.5466883451
141	0.54591693
142	0.5455097053
143	0.5449282558
144	0.5443885556
145	0.5441127179
146	0.5435705533
147	0.5432423085
148	0.5428897398
149	0.5422043985
150	0.5417848363
151	0.5413716624
152	0.5404490986
153	0.5400334579
154	0.5395177705
155	0.5391994743
156	0.5386798995
157	0.5382657523
158	0.538010295
159	0.5374850464
160	0.5368574613
161	0.5364924492
162	0.5361474578
163	0.5355966583
164	0.5352627724
165	0.5346871001
166	0.5341998569
167	0.5338833826
168	0.5333504099
169	0.5329919618
170	0.5325495093
171	0.5322142446
172	0.5317754299
173	0.5311120424
174	0.5304064436
175	0.5299841167
176	0.5293471264
177	0.5290407381
178	0.5287017691
179	0.5282898679
180	0.52799763
181	0.5274398609
182	0.5271368777
183	0.5264987178
184	0.5262217964
185	0.5253150868
186	0.5247487149
187	0.5242535035
188	0.5238290922
189	0.5231622929
190	0.5226859518
191	0.5220868488
192	0.5215057126
193	0.5210657141
194	0.520407025
195	0.5197130887
196	0.5192884892
197	0.5188931988
198	0.5185365548
199	0.5178804114
200	0.5175778447
201	0.517057734
202	0.5164808529
203	0.5161386021
204	0.5157385147
205	0.5151609544
206	0.5148349448
207	0.5140887782
208	0.5137047691
209	0.5133863793
210	0.5131302426
211	0.512727898
212	0.5120792105
213	0.5114860956
214	0.5109433857
215	0.5104645914
216	0.5097538836
217	0.5093718042
218	0.5090684423
219	0.5086872601
220	0.5081944703
221	0.5077423193
222	0.5072395664
223	0.5069021414
224	0.5064052659
225	0.5054131475
226	0.5049307755
227	0.5043583899
228	0.5037526158
229	0.5030323901
230	0.5024887488
231	0.5016206961
232	0.5010900065
233	0.5006183956
234	0.5004123276
235	0.4996370134
236	0.4992804328
237	0.4987790882
238	0.4978923732
239	0.4971654415
240	0.4964299573
241	0.4957221474
242	0.4950899792
243	0.4944480346
244	0.4938756691
245	0.4931972336
246	0.4927284176
247	0.4922680069
248	0.4919055068
249	0.4914188775
250	0.4909540505
251	0.4904232772
252	0.4900956927
253	0.4895839747
254	0.4889143972
255	0.4882056524
256	0.4878851737
257	0.4872629054
258	0.4867445315
259	0.4862026016
260	0.4856522027
261	0.4852959764
262	0.4846743986
263	0.4840010569
264	0.4834021806
265	0.4830227802
266	0.4827488019
267	0.4818837249
268	0.4814060572
269	0.4805687684
270	0.4798850904
271	0.4792042443
272	0.4786114374
273	0.4782734409
274	0.4780499396
275	0.4776597921
276	0.4770743752
277	0.4767501034
278	0.4760743978
279	0.4757785728
280	0.4752388002
281	0.4748226075
282	0.4742300858
283	0.4733933651
284	0.4727772131
285	0.4720632566
286	0.4715824412
287	0.4713023646
288	0.4708680606
289	0.290	0.47137290	0.291	0.47088291	0.292	0.47035292	0.293	0.46982293	0.294	0.46904294	0.295	0.46874295	0.296	0.46825296	0.297	0.46756297	0.298	0.46684298	0.299	0.46617299	0.300	0.46551300	0301	0.4648971434
302	0.464343302	0303	0.464146303	0304	0.463837304	0305	0.46343305	0.306	0.463306	0.46307	0.46307	0.461308	0.46308	0.461309	0.46309	0.460310	0.46310	0.460311	0.46311	0.459312	0.46312	0.459313	0.46313	0.458314	0.46314	0.458315	0.45315	0.457316	0.45316	0.45317	0.459317	0.45318	0.458318	0.45319	0.458319	0.45320	0.457320	0.45321	0.4321	0.454322	0.45322	0.454323	0.45323	0.453324	0.45324	0.453325	0.325	0.45272326	0.326	0.45194327	0.327	0.45132328	0.328	0.45080329	0.329	0.45038330	0.330	0.4501331	0.4331	0.4498332	0.4521856495
333	0.4517479849
334	0.4510912331
335	0.4506577149
336	0.4503542557
337	0.449831032
338	0.4491957701
339	0.4488559253
340	0.4482796994
341	0.4479011445
342	0.4476427014
343	0.4473306233
344	0.4467921577
345	0.4463793156
346	0.445976231
347	0.4457437614
348	0.4453418375
349	0.4451020873
350	0.4447719875
351	0.4441440601
352	0.4437664083
353	0.4433597118
354	0.443142857
355	0.4427890598
356	0.4425175708
357	0.4420282034
358	0.4417616031
359	0.4414911056
360	0.4411447113
361	0.4407069616
362	0.4403402891
363	0.4400405411
364	0.4395375657
365	0.4388280357
366	0.4381786545
367	0.4379411407
368	0.4376492211
369	0.4370979466
370	0.4368029836
371	0.4362682479
372	0.4357624994
373	0.4353758576
374	0.4349720743
375	0.434702854
376	0.4342779744
377	0.4339951123
378	0.433330176
379	0.4326999863
380	0.432316516
381	0.4319880448
382	0.4315648084
383	0.4312899153
384	0.4308960239
385	0.4299696197
386	0.429605391
387	0.4290945841
388	0.4286177664
389	0.4282018223
390	0.4278522786
391	0.4275115388
392	0.4271648312
393	0.4267956058
394	0.4264784939
395	0.4262015992
396	0.4258223725
397	0.4254798264
398	0.4250380554
399	0.4246212647
400	0.4243052294
401	0.4240110253
402	0.423651021
403	0.4232967113
404	0.4229131274
405	0.4220543582
406	0.4215457324
407	0.4213805039
408	0.4210099212
409	0.4206306133
410	0.42022578
411	0.4197502891
412	0.4192214104
413	0.418669489
414	0.4183452782
415	0.4177959855
416	0.4175629422
417	0.4172062343
418	0.4169912295
419	0.4167327769
420	0.416508297
421	0.4161749198
422	0.4160137094
423	0.4156471402
424	0.4153123135
425	0.4147628562
426	0.4144120627
427	0.4138115181
428	0.4134786747
429	0.4130540561
430	0.4125326631
431	0.4121668231
432	0.4116948431
433	0.4113787429
434	0.4110178228
435	0.4104007086
436	0.4099585392
437	0.4094927332
438	0.4090976025
439	0.4087494629
440	0.4083794333
441	0.4081926543
442	0.4075868066
443	0.4067941231
444	0.4065017943
445	0.4059613006
446	0.4056216741
447	0.4052571039
448	0.4049892057
